,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,40254.21875,41420.19140625,35984.62890625,38356.44140625,38356.44140625,79980747690.0,1280.87109375,1347.9261474609375,1194.715576171875,1262.2467041015625,1262.2467041015625,40616938053.0,,,,,,,,,,,,
2021-01-11,38346.53125,38346.53125,30549.599609375,35566.65625,35566.65625,123320567399.0,1261.6229248046875,1261.6229248046875,924.922607421875,1090.1453857421875,1090.1453857421875,60733630300.0,3803.139892578125,3817.860107421875,3789.02001953125,3799.610107421875,3799.610107421875,4450500000.0,129.19000244140625,130.1699981689453,128.5,128.97999572753906,128.3768310546875,100384500.0
2021-01-12,35516.359375,36568.52734375,32697.9765625,33922.9609375,33922.9609375,74773277909.0,1088.5267333984375,1149.240234375,1012.76416015625,1043.4345703125,1043.4345703125,37494601692.0,3801.6201171875,3810.780029296875,3776.510009765625,3801.18994140625,3801.18994140625,4977210000.0,128.5,129.69000244140625,126.86000061035156,128.8000030517578,128.19766235351562,91951100.0
2021-01-13,33915.12109375,37599.9609375,32584.66796875,37316.359375,37316.359375,69364315979.0,1043.740966796875,1134.3385009765625,994.549072265625,1130.7393798828125,1130.7393798828125,30109792795.0,3802.22998046875,3820.9599609375,3791.5,3809.840087890625,3809.840087890625,4590420000.0,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,130.27789306640625,88636800.0
2021-01-14,37325.109375,39966.40625,36868.5625,39187.328125,39187.328125,63615990033.0,1130.231201171875,1244.1630859375,1093.060791015625,1218.4530029296875,1218.4530029296875,33410915929.0,3814.97998046875,3823.60009765625,3792.860107421875,3795.5400390625,3795.5400390625,5180140000.0,130.8000030517578,131.0,128.75999450683594,128.91000366210938,128.3071746826172,90221800.0
2021-01-15,39156.70703125,39577.7109375,34659.58984375,36825.3671875,36825.3671875,67760757881.0,1221.877197265625,1250.505859375,1090.7210693359375,1171.8345947265625,1171.8345947265625,35972039310.0,3788.72998046875,3788.72998046875,3749.6201171875,3768.25,3768.25,5353060000.0,128.77999877929688,130.22000122070312,127.0,127.13999938964844,126.54542541503906,111598500.0
2021-01-16,36821.6484375,37864.3671875,35633.5546875,36178.140625,36178.140625,57706187875.0,1171.443115234375,1290.0535888671875,1157.623779296875,1233.53759765625,1233.53759765625,32319240157.0,,,,,,,,,,,,
2021-01-17,36163.6484375,36722.3515625,34069.3203125,35791.27734375,35791.27734375,52359854336.0,1233.453369140625,1265.6446533203125,1174.3885498046875,1230.1722412109375,1230.1722412109375,29258032819.0,,,,,,,,,,,,
2021-01-18,35792.23828125,37299.28515625,34883.84375,36630.07421875,36630.07421875,49511702429.0,1230.313232421875,1259.4500732421875,1187.31103515625,1257.279541015625,1257.279541015625,25817455560.0,,,,,,,,,,,,
2021-01-19,36642.234375,37755.890625,36069.8046875,36069.8046875,36069.8046875,57244195486.0,1257.4345703125,1432.300048828125,1254.52294921875,1377.2958984375,1377.2958984375,47195935190.0,3781.8798828125,3804.530029296875,3780.3701171875,3798.909912109375,3798.909912109375,4982940000.0,127.77999877929688,128.7100067138672,126.94000244140625,127.83000183105469,127.2322006225586,90757300.0
2021-01-20,36050.11328125,36378.328125,33570.4765625,35547.75,35547.75,66834573161.0,1375.2484130859375,1405.744140625,1243.2999267578125,1382.2740478515625,1382.2740478515625,46784030909.0,3816.219970703125,3859.75,3816.219970703125,3851.85009765625,3851.85009765625,4551790000.0,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,131.41256713867188,104319500.0
2021-01-21,35549.3984375,35552.6796875,30250.75,30825.69921875,30825.69921875,75643067688.0,1382.6844482421875,1382.6844482421875,1098.4761962890625,1121.5709228515625,1121.5709228515625,45932464754.0,3857.4599609375,3861.449951171875,3845.050048828125,3853.070068359375,3853.070068359375,4484460000.0,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,136.22991943359375,120150900.0
2021-01-22,30817.625,33811.8515625,28953.373046875,33005.76171875,33005.76171875,77207272511.0,1118.8890380859375,1271.6876220703125,1046.5965576171875,1236.51220703125,1236.51220703125,43918338506.0,3844.239990234375,3852.31005859375,3830.409912109375,3841.469970703125,3841.469970703125,5080430000.0,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,138.41964721679688,114459400.0
2021-01-23,32985.7578125,33360.9765625,31493.16015625,32067.642578125,32067.642578125,48354737975.0,1235.2679443359375,1272.151123046875,1200.893310546875,1230.9906005859375,1230.9906005859375,27253895441.0,,,,,,,,,,,,
2021-01-24,32064.376953125,32944.0078125,31106.685546875,32289.37890625,32289.37890625,48643830599.0,1231.2105712890625,1395.111328125,1225.2740478515625,1391.609375,1391.609375,36418163554.0,,,,,,,,,,,,
2021-01-25,32285.798828125,34802.7421875,32087.787109375,32366.392578125,32366.392578125,59897054838.0,1390.639892578125,1467.784912109375,1304.9739990234375,1324.414794921875,1324.414794921875,43565777745.0,3851.679931640625,3859.22998046875,3797.159912109375,3855.360107421875,3855.360107421875,6955860000.0,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,142.2516326904297,157611700.0
2021-01-26,32358.61328125,32794.55078125,31030.265625,32569.849609375,32569.849609375,60255421470.0,1323.74169921875,1376.0850830078125,1253.34033203125,1357.05810546875,1357.05810546875,41572917750.0,3862.9599609375,3870.89990234375,3847.780029296875,3849.6201171875,3849.6201171875,6029090000.0,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,142.4905242919922,98390600.0
2021-01-27,32564.029296875,32564.029296875,29367.138671875,30432.546875,30432.546875,62576762015.0,1358.3333740234375,1368.0740966796875,1215.311279296875,1253.1871337890625,1253.1871337890625,39394416990.0,3836.830078125,3836.830078125,3732.47998046875,3750.77001953125,3750.77001953125,9878040000.0,143.42999267578125,144.3000030517578,140.41000366210938,142.05999755859375,141.39566040039062,140843800.0
2021-01-28,30441.041015625,31891.30078125,30023.20703125,31649.60546875,31649.60546875,78948162368.0,1251.27978515625,1321.613037109375,1226.1739501953125,1298.101806640625,1298.101806640625,39790481941.0,3755.75,3830.5,3755.75,3787.3798828125,3787.3798828125,6937960000.0,139.52000427246094,141.99000549316406,136.6999969482422,137.08999633789062,136.4488983154297,142621100.0
2021-01-29,34318.671875,38406.26171875,32064.814453125,34316.38671875,34316.38671875,117894572511.0,1369.0867919921875,1428.981201171875,1292.2401123046875,1382.5228271484375,1382.5228271484375,53611955259.0,3778.050048828125,3778.050048828125,3694.1201171875,3714.239990234375,3714.239990234375,6612570000.0,135.8300018310547,136.74000549316406,130.2100067138672,131.9600067138672,131.34288024902344,177523800.0
2021-01-30,34295.93359375,34834.70703125,32940.1875,34269.5234375,34269.5234375,65141828798.0,1382.23193359375,1402.3997802734375,1328.529052734375,1376.115478515625,1376.115478515625,30616574234.0,,,,,,,,,,,,
2021-01-31,34270.87890625,34288.33203125,32270.17578125,33114.359375,33114.359375,52754542671.0,1376.8236083984375,1378.916015625,1288.5015869140625,1314.9862060546875,1314.9862060546875,25198853581.0,,,,,,,,,,,,
2021-02-01,33114.578125,34638.21484375,32384.228515625,33537.17578125,33537.17578125,61400400660.0,1314.855224609375,1373.8458251953125,1274.3577880859375,1369.04052734375,1369.04052734375,29210670920.0,3731.169921875,3784.320068359375,3725.6201171875,3773.860107421875,3773.860107421875,5392870000.0,133.75,135.3800048828125,130.92999267578125,134.13999938964844,133.51268005371094,106239800.0
2021-02-02,33533.19921875,35896.8828125,33489.21875,35510.2890625,35510.2890625,63088585433.0,1369.505126953125,1542.990966796875,1362.771240234375,1515.1937255859375,1515.1937255859375,45437142801.0,3791.840087890625,3843.090087890625,3791.840087890625,3826.31005859375,3826.31005859375,5495370000.0,135.72999572753906,136.30999755859375,134.61000061035156,134.99000549316406,134.3587188720703,83305400.0
2021-02-03,35510.8203125,37480.1875,35443.984375,37472.08984375,37472.08984375,61166818159.0,1514.7696533203125,1660.9095458984375,1510.01025390625,1660.9095458984375,1660.9095458984375,41874566399.0,3840.27001953125,3847.510009765625,3816.679931640625,3830.169921875,3830.169921875,4846900000.0,135.75999450683594,135.77000427246094,133.61000061035156,133.94000244140625,133.3136444091797,89880900.0
2021-02-04,37475.10546875,38592.17578125,36317.5,36926.06640625,36926.06640625,68838074392.0,1661.170166015625,1689.1866455078125,1561.853515625,1594.7626953125,1594.7626953125,44396871836.0,3836.659912109375,3872.419921875,3836.659912109375,3871.739990234375,3871.739990234375,4856670000.0,136.3000030517578,137.39999389648438,134.58999633789062,137.38999938964844,136.74749755859375,84183100.0
2021-02-05,36931.546875,38225.90625,36658.76171875,38144.30859375,38144.30859375,58598066402.0,1594.7933349609375,1756.510986328125,1594.7933349609375,1718.65087890625,1718.65087890625,40108628454.0,3878.300048828125,3894.56005859375,3874.929931640625,3886.830078125,3886.830078125,4838580000.0,137.35000610351562,137.4199981689453,135.86000061035156,136.75999450683594,136.32383728027344,75693800.0
2021-02-06,38138.38671875,40846.546875,38138.38671875,39266.01171875,39266.01171875,71326033653.0,1717.7974853515625,1738.314453125,1649.0687255859375,1677.8468017578125,1677.8468017578125,39873420648.0,,,,,,,,,,,,
2021-02-07,39250.19140625,39621.8359375,37446.15234375,38903.44140625,38903.44140625,65500641143.0,1677.605712890625,1690.03662109375,1501.750244140625,1614.227783203125,1614.227783203125,39889440151.0,,,,,,,,,,,,
2021-02-08,38886.828125,46203.9296875,38076.32421875,46196.46484375,46196.46484375,101467222687.0,1613.6422119140625,1770.5908203125,1571.5799560546875,1746.6168212890625,1746.6168212890625,48012285956.0,3892.590087890625,3915.77001953125,3892.590087890625,3915.590087890625,3915.590087890625,4635030000.0,136.02999877929688,136.9600067138672,134.9199981689453,136.91000366210938,136.47337341308594,71297200.0
